,sim,lda,freq,lda_log_freq_1,corpus,n_comp,size,delta,delta_max
259,23,0.34418,0.32782,0.34288,en_wiki,2,1024,0.015060000000000018,0.016359999999999986
260,23,0.34418,0.32782,0.3434,en_wiki,2,2048,0.015579999999999983,0.016359999999999986
261,23,0.34418,0.32782,0.34383,en_wiki,2,4096,0.016010000000000024,0.016359999999999986
262,23,0.34418,0.32782,0.34401,en_wiki,2,8192,0.016189999999999982,0.016359999999999986
263,23,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
264,24,0.34418,0.32782,0.26321,en_wiki,2,16,-0.06461,0.016359999999999986
265,24,0.34418,0.32782,0.32455,en_wiki,2,32,-0.003269999999999995,0.016359999999999986
266,24,0.34418,0.32782,0.28341,en_wiki,2,64,-0.044410000000000005,0.016359999999999986
267,24,0.34418,0.32782,0.34359,en_wiki,2,128,0.015770000000000006,0.016359999999999986
268,24,0.34418,0.32782,0.34397,en_wiki,2,256,0.016149999999999998,0.016359999999999986
269,24,0.34418,0.32782,0.34152,en_wiki,2,512,0.01369999999999999,0.016359999999999986
270,24,0.34418,0.32782,0.34295,en_wiki,2,1024,0.015129999999999977,0.016359999999999986
271,24,0.34418,0.32782,0.34407,en_wiki,2,2048,0.016249999999999987,0.016359999999999986
272,24,0.34418,0.32782,0.34413,en_wiki,2,4096,0.01630999999999999,0.016359999999999986
273,24,0.34418,0.32782,0.3441,en_wiki,2,8192,0.016280000000000017,0.016359999999999986
274,24,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
275,25,0.34418,0.32782,0.33593,en_wiki,2,16,0.008110000000000006,0.016359999999999986
276,25,0.34418,0.32782,0.34187,en_wiki,2,32,0.014050000000000007,0.016359999999999986
277,25,0.34418,0.32782,0.34159,en_wiki,2,64,0.013770000000000004,0.016359999999999986
278,25,0.34418,0.32782,0.33476,en_wiki,2,128,0.006940000000000002,0.016359999999999986
279,25,0.34418,0.32782,0.34256,en_wiki,2,256,0.014739999999999975,0.016359999999999986
280,25,0.34418,0.32782,0.341,en_wiki,2,512,0.013180000000000025,0.016359999999999986
281,25,0.34418,0.32782,0.3442,en_wiki,2,1024,0.016380000000000006,0.016359999999999986
282,25,0.34418,0.32782,0.34403,en_wiki,2,2048,0.016210000000000002,0.016359999999999986
283,25,0.34418,0.32782,0.34329,en_wiki,2,4096,0.015469999999999984,0.016359999999999986
284,25,0.34418,0.32782,0.34408,en_wiki,2,8192,0.016259999999999997,0.016359999999999986
285,25,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
286,26,0.34418,0.32782,0.34404,en_wiki,2,16,0.016220000000000012,0.016359999999999986
287,26,0.34418,0.32782,0.32767,en_wiki,2,32,-0.00014999999999998348,0.016359999999999986
288,26,0.34418,0.32782,0.29571,en_wiki,2,64,-0.03211000000000003,0.016359999999999986
289,26,0.34418,0.32782,0.34028,en_wiki,2,128,0.012460000000000027,0.016359999999999986
